,제목,작가,키워드,스토리,플랫폼
1,우리사이느은,이연지,"#로맨스#다각관계#짝사랑#썸#친구>연인
","멀어질 수도, 그렇다고 연인이 될 수도 없는 사이.
파스텔 톤처럼 따스하지만, 원색처럼 뜨겁지 못해 애매한 우리. 모두를 두근거리게 할 캠퍼스 로맨스가 시작됩니다.
",레진코믹스
2,아기가 생겼어요,"강기, 이정","#로맨스#소설원작#연애#결혼#원나잇
","윤리적 교육적으로 완벽한 선생님을 꿈꾸던 장희원은 하룻 밤의 일탈로 임신을 하게 된다. 설상가상으로 아기아빠는 제자의 삼촌이자 학교 이사장인 강두준인데. 덜컥 결혼부터 하자는 이사님께 제대로 낚인 장희원의 아슬아슬한 로맨스 드라마 
",레진코믹스
3,애프터 커튼콜,"아쌈, 지나","#현대물#백합#걸크러쉬#연예인#달달물
","뮤덕 소영은 뮤지컬 커튼콜 및 퇴근길 사진을 찍는 찍덕이다.
최근, 좋아하던 뮤지컬 배우가 영상매체로 전향하면서, 본진을 잃었다고 괴로워하던 소영은 친구 완님을 따라 연극을 보러 간다.
그리고 그곳에서 만난 연극배우 재이는 소영의 본진이 되고 마는데...!!
한편, 한 연극에 참여하게 된 재이. 재이에겐 과거 자신을 팽했던 전여친에 대한 기억이 있다.
그런데 그 전여친이자, 영상매체에 데뷔한 혜선 또한 스타 캐스팅으로 연극을 함께 하게 되고, 그렇게 재이의 신경을 자꾸만 긁게 되는데...
#덕질의_모든_것 #연극_덕질_인생 #GL #예쁘고멋있고좋은거_재이가_다해
",레진코믹스
4,대표님의 삐뚤어진 사랑 [연재],"Hongshu, Rose Studio, Nianhuarexiao","#로맨스#현대물#계약관계#집착#재벌
","""도망쳐 봐야 내 손바닥 안이지."" 
자신을 버린 전 남자 친구에게 복수하기 위해 악마 같은 남자 강재준과 계약을 하게 된 문가영. 그런데 이 남자 정말 괜찮은 걸까? 문가영은 자신의 주변인들까지 조여오는 강재준의 집착에서 벗어나기 위해 고군분투하는데...
​
문가영은 삐뚤어진 강재준에게서 벗어나 원래의 평범한 삶을 살아갈 수 있을까?
",레진코믹스
5,너와 사는 오늘,"우지혜, 두르","#걸크러쉬#로맨스#사내연애#첫사랑#삼각관계
","""연애하면 될 거 아냐!!""
소꿉친구인 재혁을 짝사랑하던 도희. 
그녀가 재혁과 멀어지기 위해 연애를 하기로 다짐한 그 순간 
교내에서 소문난 잘생긴 또라이 원영과 마주친다!
계속되는 원영의 장난에 자신도 모르게 설레는 나날들..
과연 도희는 파란만장한 캠퍼스에서 연애를 시작할 수 있을까??
",레진코믹스
6,"대표님, 사모님이 도망가요","Hongshu, Anyouran","#로맨스#현대물#계약관계#결혼#재벌
","결혼식 전날, 약혼자의 불륜을 목격한 것도 모자라 사랑하는 가족까지 잃게 된 노신아. 세상이 무너지는 것 같던 그때 그녀 앞에 나타난 권욱진! ""네가 잃은 모든 걸 되찾아 줄 수 있어. 단, 한 가지 요구만 들어준다면..."" 모든 걸 잃어버린 그녀에게 나타난 이 남자. 과연 행운일까? 불행일까?
",레진코믹스
7,LOVE WINS,목도리,"#결혼#로맨스#드라마#백합
","「 레진챌린지에서 독자들의 정신이 아찔해지게 웃기고 설렜던 선 결혼 후 연애 로맨스!! 」
동성혼 합법화 소식에 들떠 번개에 나간 모쏠 레즈 이다연. 
술에 취해 모르는 여자와 혼인신고를 해버렸다....!?
",레진코믹스
8,사랑할 수 없는 그녀,"kkworld, zero, Chunfeng Studio","#로맨스#첫사랑#츤데레#달달물#짝사랑
","“더 이상 사랑 따윈 믿지 않아.” 2년 전 약혼자의 배신으로 결혼식에서 도망친 하수현은 자신은 더 이상 누군가를 사랑할 수 없는 사람이라 여기며 일만 보고 살아 왔다. 하지만 어린 시절부터 자신을 졸래졸래 따라다니던 이웃집 남동생 임호와 재회한 뒤, 꽁꽁 얼어붙어 있는 그녀의 마음도 녹아 내리기 시작하는데…….
",레진코믹스
9,우리 내일 이혼해요,"Flower, Xiangwang, Ailu Cat","#로맨스#현대물#부부#연애#결혼
","""그럼 이혼은 언제 하는 거예요?""
소중한 사람을 지키기 위해
얼굴도 모르는 남자와 결혼해버렸다.
고모의 빚만 갚으면 이혼하리라 결심한 여름은
남편에게 제안을 건네지만,
""이여름, 넌 이제 내 거야.""
왜 이 남자는 갑자기 나한테 집착하는 건데?!
",레진코믹스
10,안나 이야기,김지효,"#드라마#모험#로맨스
","안나는 대장간에서 검 만드는 일을 한다. 어느 날 단골 손님인 알렉스를 숲속 도적떼로부터 구한 이후 그녀의 평범한 일상이 깨지게 되는데…!
",레진코믹스
