,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
0,참교육,채용택 / 한가람,"스토리, 액션","무너진 교권을 지키기 위해 교권보호국 소속 나화진의 참교육이 시작된다!
&lt;부활남&gt; 채용택 작가 X &lt;신석기녀&gt; 한가람 작가의 신작!",https://comic.naver.com/webtoon/list?titleId=758037&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/758037/thumbnail/thumbnail_IMAG06_794bcc1e-23aa-4c35-a335-b5d21b4bc2ab.jpg,네이버 웹툰,"['부활', '신석기', '채용', '한가람', '교육']"
1,신의 탑,SIU,"스토리, 판타지","자신의 모든 것이었던 소녀를 쫓아 탑에 들어온 소년
그리고 그런 소년을 시험하는 탑",https://comic.naver.com/webtoon/list?titleId=183559&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/183559/thumbnail/thumbnail_IMAG06_b1272b70-7eb4-4c1e-bc08-50bf924e73be.jpg,네이버 웹툰,"['소녀', '소년', '시험', '판타지']"
2,뷰티풀 군바리,설이 / 윤성원,"스토리, 드라마",'여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,https://comic.naver.com/webtoon/list?titleId=648419&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/648419/thumbnail/thumbnail_IMAG06_44119122-8568-4293-9159-a99e2a6b0558.jpg,네이버 웹툰,"['군대', '드라마', '만화', '여자도']"
3,윈드브레이커,조용석,"스토리, 스포츠","혼자서 자전거를 즐겨타던 모범생 조자현.
원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데...
자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!",https://comic.naver.com/webtoon/list?titleId=602910&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/602910/thumbnail/thumbnail_IMAG06_fd7fe8c8-e3fc-4553-88c2-46d861e49441.jpg,네이버 웹툰,"['스포츠', '드라마', '라이', '말리', '모범생']"
4,퀘스트지상주의,박태준 만화회사,"스토리, 드라마","[외모지상주의], [싸움독학], [인생존망]과 세계관을 공유하는 작품!
공부, 싸움, 외모.
뭐 하나 잘난 것 없는 평범한 고등학생 ‘김수현’의 눈앞에 갑자기 퀘스트창이 나타났다!
첫 번째 퀘스트, [엄마한테 사과하기]를 완료한 수현은 보상으로 키가 3cm 커지게 되는데!
퀘스트 엄청 쉽잖아?! 어떤 퀘스트든 완료해주마! 그런데 다음 퀘스트가?
[system] 학교 일진녀와 키스하십시오",https://comic.naver.com/webtoon/list?titleId=783052&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/783052/thumbnail/thumbnail_IMAG06_f8e8c275-a327-48a9-9573-de64dadb9d60.jpg,네이버 웹툰,"['퀘스트', '작품', '공부', '싸움', '외모']"
5,쇼미더럭키짱!,박태준 / 김성모,"에피소드, 액션","고작 18살 나이로 부산을 꿇린 남자 강건마
메마른 그의 가슴을 송두리째 불태울 존재가 나타났으니,
그것은 '힙합'(Hip - hop)!
래퍼가 되기 위해선 서울을 통합해야 하는 법!
사나이 강건마! 오늘도 래퍼가 되기 위해 사람을 팬다!
참고로 두 작가 모두 랩이 뭔지 모른다!",https://comic.naver.com/webtoon/list?titleId=783054&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/783054/thumbnail/thumbnail_IMAG06_4656dbaf-26ce-4aee-bde5-87a0b1714022.jpg,네이버 웹툰,"['액션', '통합', '남자', '래퍼', '사나이']"
6,장씨세가 호위무사,김인호 / 조형근,"스토리, 액션","‘당신이 부른 것이오. 나란 사람을... ’
은둔고수 광휘. 호위무사 되다.
웹소설 원작 웰메이드 무협 시대극!",https://comic.naver.com/webtoon/list?titleId=728750&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/728750/thumbnail/thumbnail_IMAG06_50aeb870-ee3e-47e4-bb38-a0d01e49ec8f.jpg,네이버 웹툰,"['고수', '광휘', '무사', '무협', '시대극']"
7,소녀의 세계,모랑지,"스토리, 드라마","완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",https://comic.naver.com/webtoon/list?titleId=654774&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/654774/thumbnail/thumbnail_IMAG06_8ec78896-0b7f-44c3-9eb6-2ba9ab3b07f0.jpg,네이버 웹툰,"['드라마', '맘씨', '오리가', '갈등', '백조']"
8,백수세끼,치즈,"스토리, 드라마","백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",https://comic.naver.com/webtoon/list?titleId=733074&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/733074/thumbnail/thumbnail_IMAG06_0d8a0c1c-30a2-4e72-94a9-59c272266c1e.jpg,네이버 웹툰,"['드라마', '백수', '시절', '메뉴', '연애']"
9,유미의 작가 수칙,이동건,"스토리, 일상","본 컨텐츠는 이동건 작가가 전하는 네이버의 브랜드 웹툰입니다.
프로 작가의 삶을 살아가는 유미!
창작의 고통 속에서 고민이 깊어지는데...
어떻게 유미는 경쟁력을 키워나갈까?",https://comic.naver.com/webtoon/list?titleId=793005&amp;weekday=mon,https://shared-comic.pstatic.net/thumb/webtoon/793005/thumbnail/thumbnail_IMAG06_593ec0ff-4167-4146-a5c1-921a4671dee9.jpg,네이버 웹툰,"['브랜드', '일상', '전하', '컨텐츠', '툰입니']"
