,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
0,아기가 생겼어요,"강기, 이정","#로맨스#소설원작#연애#결혼#원나잇
","윤리적 교육적으로 완벽한 선생님을 꿈꾸던 장희원은 하룻 밤의 일탈로 임신을 하게 된다. 설상가상으로 아기아빠는 제자의 삼촌이자 학교 이사장인 강두준인데. 덜컥 결혼부터 하자는 이사님께 제대로 낚인 장희원의 아슬아슬한 로맨스 드라마 
",https://www.lezhin.com/ko/comic/i_have_a_baby,https://ccdn.lezhin.com/v2/comics/5564344987877376/images/tall.jpg?updated=1647219661399&width=840,레진코믹스,"['결혼', '로맨스', '희원', '가상', '강두']"
1,"대표님, 사모님이 도망가요","Hongshu, Anyouran","#로맨스#현대물#계약관계#결혼#재벌
","결혼식 전날, 약혼자의 불륜을 목격한 것도 모자라 사랑하는 가족까지 잃게 된 노신아. 세상이 무너지는 것 같던 그때 그녀 앞에 나타난 권욱진! ""네가 잃은 모든 걸 되찾아 줄 수 있어. 단, 한 가지 요구만 들어준다면..."" 모든 걸 잃어버린 그녀에게 나타난 이 남자. 과연 행운일까? 불행일까?
",https://www.lezhin.com/ko/comic/runaway_wife,https://ccdn.lezhin.com/v2/comics/4732211905757184/images/tall.jpg?updated=1639963332642&width=840,레진코믹스,"['남자', '불행', '요구', '행운', '결혼식']"
2,대표님의 삐뚤어진 사랑 [연재],"Hongshu, Rose Studio, Nianhuarexiao","#로맨스#현대물#계약관계#집착#재벌
","""도망쳐 봐야 내 손바닥 안이지."" 
자신을 버린 전 남자 친구에게 복수하기 위해 악마 같은 남자 강재준과 계약을 하게 된 문가영. 그런데 이 남자 정말 괜찮은 걸까? 문가영은 자신의 주변인들까지 조여오는 강재준의 집착에서 벗어나기 위해 고군분투하는데...
​
문가영은 삐뚤어진 강재준에게서 벗어나 원래의 평범한 삶을 살아갈 수 있을까?
",https://www.lezhin.com/ko/comic/ceos_crooked_love,https://ccdn.lezhin.com/v2/comics/5459019290705920/images/tall.jpg?updated=1635134485828&width=840,레진코믹스,"['집착', '계약', '대물', '로맨스', '손바닥']"
3,월간 백합 [연재],레드피치,"#백합#귀여움#달달물#옴니버스#썸
","[본 작품은 여러 에피소드로 구성되어 있는 단편집입니다.]
꽃이 아니라, 불꽃 같은 우리들의 이야기
매월 10일,
여러분이 애타게 찾던 사랑이 찾아갑니다.
",https://www.lezhin.com/ko/comic/monthly_gl,https://ccdn.lezhin.com/v2/comics/5197379572924416/images/tall.jpg?updated=1650860103834&width=840,레진코믹스,"['작품', '편집', '달달', '백합', '버스']"
4,약혼녀가 바뀐 것 같은데요 [연재],소명태극,"#로맨스#환생#연예인#달달물#썸
","""나랑 결혼하기 싫은 거 알아.
그러니까 우리 파혼해.""
복싱 월드 챔피언이었던 나, 임수영은
'성우진의 악혼녀' 임화영에게 빙의했다.
잘나가는 배우 성우진의 약혼녀라는 이유만으로
 불행한 삶을 살던 화영을 대신해
파혼을 결심한 수영.
성우진도 임화영에게 냉랭하기만 했으니
파혼은 식은죽 먹기라 생각했는데…?
""난 파혼할 생각 없는데.""
...왜 싫은 건데?!
",https://www.lezhin.com/ko/comic/changed_fiancee,https://ccdn.lezhin.com/v2/comics/6314845405511680/images/tall.jpg?updated=1651829350604&width=840,레진코믹스,"['수영', '임화', '성우', '파혼', '배우']"
5,우리 아빠가 대표님 이래요 [연재],에코스튜디오,"#일상#로맨스#현대물#재벌#성장물
","""아빠라고… 불러도 돼요?""
아빠 없이 엄마의 손에 홀로 키워진 은호에게
갑자기 나타난 남신 아빠!
그런데… 아빠가 생긴 건 좋지만,
은호의 눈엔 둘의 사이가 조금 미묘해 보인다.
엄마, 아빠와 행복하게 살고싶은
은호의 바람은 이루어질 수 있을까?
",https://www.lezhin.com/ko/comic/my_dads_the_boss,https://ccdn.lezhin.com/v2/comics/5203110975045632/images/tall.jpg?updated=1625022247301&width=840,레진코믹스,"['아빠', '엄마', '호의', '홀로', '사이']"
6,말할 수 없는 남매,윌로우,"#걸크러쉬#고등학교#코믹#비밀#로맨스
","전학 첫 날부터 큰 사고를 쳤다. 첫눈에 반한 남학생의 관심을 끌기위해 오빠와 사귄다는 거짓말로 학교를 발칵 뒤집어 놓은 다이너마이트 남매의 학교생활. 탄탄한 실력을 갖춘 윌로우님의 장편 데뷔작.
",https://www.lezhin.com/ko/comic/my_secret_brother,https://ccdn.lezhin.com/v2/comics/99/images/tall.jpg?updated=1644555407101&width=840,레진코믹스,"['남학생', '발칵', '장편', '마이', '실력']"
7,낮에 뜨는 별 [연재],"고다고, 채은","#현대물#연상연하#달달물#다정#연예인
","대한민국 최고의 톱스타 강승현,
7년째 중고 신인 황유라의 드라마틱 로맨스!
연기 하나만으로 성공하고자 했으나, 7년째 무명배우 신세인 황유라. 
그녀는 믿었던 남자친구에게 뒤통수를 맞는다. 
양다리를 걸치던 그가 유라를 잔인하게 차 버리고 더 좋은 배경의 여자와 결혼한 것.
이후 유라는 대작 냄새 폴폴 풍기는 영화의 단역을 맡게 되지만, 그녀의 고난은 끝나지 않는다. 
한겨울에 바다에 빠져야 하는 촬영에, 빽으로 주연을 차지한 전 남자친구와의 재회까지?!
결국 유라는 촬영장 구석에서 눈물 콧물을 쏟고 만다.
그때, 흥행 보증수표로 불리는 톱스타 강승현이 그녀를 발견하는데.
“내 방에서 자.”
“저, 그런 애 아닙니다!”
영화 촬영과 함께 시작되는 두 사람만의 비밀스럽고 간지러운 로맨스!
",https://www.lezhin.com/ko/comic/stars_rise_day,https://ccdn.lezhin.com/v2/comics/6719108801691648/images/tall.jpg?updated=1639449321940&width=840,레진코믹스,"['유라', '톱스타', '중고', '대한민국', '드라마틱']"
8,대표님의 독점적 사랑,Wanbao,"#로맨스#연애#재벌
","술에 취해 회사 대표님과 하룻밤을 보내게 된 나,  그 후 대표님이 나를 대하는 행동이  달라졌다!
게다가 알고 보니 나랑 가장 친한 친구의 오빠였다니!? 안 그래도 부담스러운데 대놓고 내게 직진하는 이 남자! 대체 진심이 무엇일까?
모르겠고 돈 많고, 잘 생기고, 몸매까지 완벽한 이 남자, 그냥 확~! 내 걸로 만들어 버려?
",https://www.lezhin.com/ko/comic/boss_exclusive_love,https://ccdn.lezhin.com/v2/comics/4702957250871296/images/tall.jpg?updated=1651626344750&width=840,레진코믹스,"['남자', '직진', '대체', '진심', '행동']"
9,첫사랑에게 [연재],"리세, 유송주","#소설원작#학원#로맨스#첫사랑
","유일한 가족이었던 할머니가 돌아가신 후 
하진의 집에 객식구로 얹혀 살게 된 지수. 
어린 나이에 가족을 전부 잃고도,
힘든 내색조차 하지 않는 그녀에게 하진은 자꾸만 시선이 향하는데...!
한 지붕 아래서 펼쳐지는 지수와 하진의 풋풋한 첫사랑 이야기.

“그런데 참 신기해.”
“뭐가.”
“절대 좋아할 일 없을 거라고 확신했던 녀석을 좋아하게 됐다는 게.”
",https://www.lezhin.com/ko/comic/dear_first_love,https://ccdn.lezhin.com/v2/comics/5112338975096832/images/tall.jpg?updated=1639013286294&width=840,레진코믹스,"['시선', '소설', '자꾸만', '로맨스', '사랑']"
