,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
0,멸종인간,잇선,공포/스릴러,"인간의 신체를 흡수하는 미지의 생물 '번인'
D-day를 기점으로 모습을 드러내며 인류를 공격한다.

70% 이상의 인간이 죽거나 끌려갔고,
터전을 빼앗긴 채 살아남은 이들은 번인들을 피해 도망친다.
'온미연' 일행은 마지막 희망인 '민기수'를 만나
최악의 상황을 반전시킬 `목적지`로 떠나게 되는데...

인류의 생존 혹은 멸종,
과연 인간은 번인들로부터 살아남을 수 있을 것인가?!
<관찰인간>, <생존인간>에 이은 세 번째 이야기!",https://webtoon.kakao.com/content/멸종인간/1705,https://kr-a.kakaopagecdn.com/P/C/1705/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['인류', '인간', '생존', '미연', '마지막']"
1,비밀 사이,맥퀸스튜디오,로맨스,"가난한 어린 시절로 마음이 온통 결핍투성이인 다온.

가난의 부속품처럼 찾아오는 부끄러움에 
아무렇지 않은 척 굴지만 속은 생채기로 아프다.

날을 세우고 경계하지만 
한 번 마음을 내주면 누구보다 무르다.
다온은 관계를 잇지도 끊지도 못하며,
그렇게라도 자신의 옆을 채우고 싶어한다.

어쩌면 상처를 감싸줄 사람을 찾아 헤매는 걸지도 모른다.

사랑의 모양은 사람의 수만큼 다양하다.
같은 모양을 찾는 일은 수만큼이나 소용없다.

그저 서로의 모양을 쫓아 맞춰가는 게 사랑일 뿐이다.
…내게도 그런 사랑이 올까? ",https://webtoon.kakao.com/content/비밀-사이/1943,https://kr-a.kakaopagecdn.com/P/C/1943/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['마음', '로맨스', '부끄러움', '가난', '결핍']"
2,오무라이스 잼잼,조경규,코믹/일상,"'음식'과 '가족'의 이야기를 담은 에세이 만화.

몇 개라도 먹을 수 있을 것 같은 '메추리알 조림',
빙글빙글 돌아가는 '회전초밥',
지구 반 바퀴 돌아 포르투갈에서 맛본 '에그타르트',
매콤상콤하게 볶아 입맛 도는 '마라샹궈',
짭짤한 밥도둑 '간장게장' 등

우리가 사랑하는 모든 음식들에 얽힌
흥미진진한 비화와 따스한 이야기가 펼쳐진다.

엄마, 아빠, 딸, 그리고 아들로 구성된
작가의 가족이 전하는 음식의 알찬 정보!

몸과 정신의 영양까지 챙기는 건강한 작품, 지금 시작됩니다!",https://webtoon.kakao.com/content/오무라이스-잼잼/198,https://kr-a.kakaopagecdn.com/P/C/198/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['가족', '음식', '간장', '매콤', '메추리']"
3,유부녀 킬러,미역의효능,드라마,"육아휴직을 마치고 회사로 돌아간 5년차 유부녀 유보나.

보나는 저격총을 쥔 채 호텔에 있는 타깃을 향해 총구를 겨눈다.
""탕!"" 복귀 후 첫 미팅은 암살업무, 보나는 유부녀 ‘킬러’이다.

보나는 자신의 딸 율이와 시어머니가 운영하는 치킨집을 찾았는데,
테이블 뒤편에서 고아인 보나를 험담하는 시어머니의 소리가 들린다.

어느 날, 시어머니 옥선자와 보나의 첫째 시누이 순일은
월세를 올리지 않는 고마운 건물주에게 선물을 보내기로 한다.

밤이 되고 세입자가 선물을 보냈다는 문자 한 통을 받은 보나!
웃으며 월세를 동결하겠다고 말한 후 일상을 이어간다. 

한편 현장에 도착한 형사들은 희대의 암살자 ‘킹피셔’가 
돌아왔다는 것을 눈치 챈다.

보나의 남편인 태성에게 상사인 낫투데이 신문사의 우국장은
킹피셔에 관해 알아오는 지시를 던지는데...",https://webtoon.kakao.com/content/유부녀-킬러/1963,https://kr-a.kakaopagecdn.com/P/C/1963/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['보나', '피셔', '유부녀', '시어머니', '선물']"
4,두번째 썸,비아이,로맨스,"중2 때 잠시 사귀었던 희수와 소리. 
순수했던 희수의 마음을 받기에는 많이 미숙했던 소리였다. 
결국 희수에게 상처만 입힌 채 둘은 헤어진다.

시간은 흘러 20대에 접어든 두 사람. 
이들은 우연히 다시 재회하게 되는데….

""좋아서, 다시 만난 게.""

희수를 본 순간 심장이 다시 뛰기 시작한다. 
희수의 행동도 심상치 않다. 

썸인 듯 아닌 듯한 관계에 희수에 대한 소리의 마음이 커져간다.

어렸던 자신으로 인해 어긋났던 희수와의 관계.
'이번엔 내가 먼저 다가갈 거야. 내가 고백할거야' 

용기를 낸 그 순간, 전 남친의 한 마디.
""나 여친 있는데?""",https://webtoon.kakao.com/content/두번째-썸/2047,https://kr-a.kakaopagecdn.com/P/C/2047/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['희수', '순간', '고백', '남친', '마디']"
5,집행자여,종수,판타지 드라마,"자정이면 인적이 드물어지는 통금의 시대, 1969년.

군부의 통제는 극심해지고 언론은 때마침 청삿골 고택에서 
벌어진 살인사건을 앞다투어 조명하며 군부의 
눈밖에 나지 않으려 안간힘을 쓰는데...

한편 살인범으로 몰린 친구를 구하고자 현장에 뛰어든 
김종서 기자는 상상조차 할 수 없었던 괴이한 현실을 
눈앞에서 마주하게 된다.

인간도 아니요, 짐승도 아닌 존재가 
세상에 드러나면서 혼란에 빠진 정세..!

여론을 움켜쥐려는 중앙정보부가 치안국 수사에 개입하고, 
군부의 권세를 실추시키려는 비밀조직 제2술사단도 
은밀히 사건의 실체를 쫓게 되는데...

척박한 시대에 사사로운 환상을 꿈꾸는 
먹물 김종서의 오컬트 추적기!",https://webtoon.kakao.com/content/집행자여/1372,https://kr-a.kakaopagecdn.com/P/C/1372/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['김종서', '사건', '시대', '군부', '부가']"
6,화폐개혁,"YOON, 움비",판타지 드라마,"몹시 곤란한 삶을 살고 있는 주인공 '유일한'. 

생면부지 아버지의 부고소식을 든 변호사가 그를 방문한다. 
1조원이 넘는 상속 기회와 함께…!

상속 조건은 다가올 화폐개혁에 대비해서 
자산을 지킬 수 있는지 자격을 보는 것. 

그 자격은 몇 가지 테스트를 통해 검증한다. 
시공사 선택, 뱅크런, 마늘은행 신뢰 등
온갖 테스트를 진행하게 되는데….

목숨을 건 상속 테스트,
유일한은 1조원을 지켜낼 수 있을까?",https://webtoon.kakao.com/content/화폐개혁/1877,https://kr-a.kakaopagecdn.com/P/C/1877/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['테스트', '상속', '시공사', '신뢰', '마늘']"
7,개목걸이,"김종욱, 만두",학원/판타지,"""갖고 싶다면 뺏어라!""

겉으로는 평범해 보이는 한동 고등학교. 
해가 지면 혈투가 벌어지는 도박 싸움판으로 변한다. 

재벌 가문의 도련님들이 만든 ‘학생결투위원회’는 
비밀 격투 대회 ‘Dog Fight Club’을 열었고,
뛰어난 파이터들이 구경거리가 되는 것을 자처하며 
싸움을 계속하고 있다. 

그 이유는 단지 돈. 

복수의 대상을 쫓아 한동고에 뛰어든 ‘조상백’은 
눈에 보이는 일진들을 전부 박살 내며 
싸이코란 별명을 얻고 모두의 관심을 끄는데...

복수를 위해 싸움을 계속해 갈수록 
강해지는 상대들과 힘겨워지는 상황들. 
상백의 복수는 과연 성공할 것인가?",https://webtoon.kakao.com/content/개목걸이/2046,https://kr-a.kakaopagecdn.com/P/C/2046/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['싸움', '백의', '갈수록', '대상', '조상']"
8,트리거,불만있냥,학원/판타지,"불량하기로 유명한 대명 고등학교에 입학한 평범한 고등학생 남지일.
입학 첫날부터 일진들의 타깃이 되어 전교생이 다 아는 빵셔틀이 되고 만다.
고질적인 심장병을 앓고 있던 약한 몸으로 일진들에게 폭행과 괴롭힘을 당하며 괴로운 나날을 반복하던 중,
뜻밖의 변화를 겪고 인생의 전환점을 맞이하게 되는데…",https://webtoon.kakao.com/content/트리거/2364,https://kr-a.kakaopagecdn.com/P/C/2364/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['일진', '전환', '괴롭힘', '인생', '타깃']"
9,미생,"도경, 선용민, 이해날",드라마,자신의 삶을 승리하기 위해 한 수 한 수 돌을 잇는 사람들의 이야기,https://webtoon.kakao.com/content/미생/818,https://kr-a.kakaopagecdn.com/P/C/818/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['드라마', '승리', '이야기']"
10,타원을 그리는 법,섬멍,로맨스,"오합지졸들과 함께
회사의 비밀 프로젝트를 밝혀내고
연인을 과거에서 구출하라!

제약회사에 이직하게 된 광고쟁이 유주하는 
자신의 이직에 연인의 과거가 얽힌 계략이
숨겨져있음을 알게 된다. 

참하고 조신한 줄로만 알았던 애인 민성이
사실은 천재해커였단 사실과 
이를 노리고 접근하는 서로 다른 사람들로 인해
유주하의 일상은 혼돈해진다. 

분명한 것은 이 모든 게
회사의 비밀 프로젝트와 관련 있다는 사실
연인의 과거를 쥔 회사의 높으신 분들에 맞서 유주하는
자신을 돕겠다는 정체불명의 콤비와 손을 잡고 마는데...",https://webtoon.kakao.com/content/타원을-그리는-법/1768,https://kr-a.kakaopagecdn.com/P/C/1768/sharing/2x/d7db8eb3-2ef3-42c7-b128-8fd340268f11.jpg,카카오웹툰,"['유주', '비밀', '프로젝트', '과거', '연인']"
11,까락,서강용,액션/무협,주먹 자랑을 하지 말아야 하는 벌교. 그곳에 서울 '조폭'이 내려와 물을 흐린다!,https://webtoon.kakao.com/content/까락/1971,https://kr-a.kakaopagecdn.com/P/C/1971/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg,카카오웹툰,"['무협', '벌교', '액션', '주먹', '자랑']"
