,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
0,내 남편의 스캔들,"드센,태소영",로맨스,국회의원의 딸 정서현과 삼마그룹 마기진 상무의 결혼은 완벽했다. 그가 비서 채린과 바람을 피우기 전까지. 이혼을 앞두고 서류에 도장만 찍을 일만 남았는데 교통사고로 인해 마기진이 기억 상실증에 걸리게 된다. 기억을 잃은 마기진은 서현을 자신이 가장 사랑했던 여자라고 착각을 하게 되는데....,https://page.kakao.com/home?seriesId=59307452,https://dn-img-page.kakao.com/download/resource?kid=bwnK1e/hzwBo1r1Um/tXfleha1jloJM5Q6r82ZV1&filename=th2,카카오페이지,"['기억', '기진', '바람', '비서', '일만']"
1,더는 못 본 척하지 않기로 했다,"DAMA,이재현,율비",로판,"회귀하고 나서야 깨달았다.

외도를 저지른 남편은 어떻게든 다시 또 외도를 저지르고,
저 망할 내연녀는 다시 또 내 앞에 나타나고,
내 명줄은 그리 길지 않다는 걸.

""우리 이혼해요."" 

""...뭐?""

""당신에게 줄 돈은 한 푼도 없으니까 내가 사준 것들 전부 내놓고 나가세요.
저기 저 구석에 처박힌 속옷까지 전부, 다.""

""갑자기 왜 이러는 거요?""

""갑자기?""

절로 비틀린 미소가 그려졌다. 원래 염치없는 사람인 줄은 알았지만 이건 좀 심하잖아.

""그건 당신이 더 잘 알겠지, 이 하반신으로 생각하는 짐승 새끼야.""",https://page.kakao.com/home?seriesId=57673950,https://dn-img-page.kakao.com/download/resource?kid=l2ykH/hzb7wLZeM1/xmDI1RuSQ7Y5pWBckSTGz1&filename=th2,카카오페이지,"['미소', '절로', '구석', '남편', '내연']"
2,녹음의 관,"삵,김은혜,비누,시야",로판,"남자주인공에게 트라우마를 남긴 계모의 딸에 빙의했다.
이 모든 것은 내가 열 다섯 살 때 쓴 소설 속 안.
괜찮아, 어떻게든 널 행복하게 만들어줄게.
내가 이 소설의 원작자라고!

""저는 단 한번도 누님을 가족이라 생각한 적이 없습니다.""

남주 행복 프로젝트, 열심히 실천하고 있다고 생각했는데.
왜 나를 가족으로 인정해주지 않는거니?
남주가 공작이 되기 전까지 나, 무사히 살아남을 수 있을까?",https://page.kakao.com/home?seriesId=55889891,https://dn-img-page.kakao.com/download/resource?kid=ZlYq4/hzaccbtjfk/D7hKrYl14bA16b3kZBk3QK&filename=th2,카카오페이지,"['가족', '공작', '인정', '주가', '주지']"
3,그녀와 야수,"홍슬,마지노선",로판,"제국의 시조였던 전설적인 인물 마티나의 죽음으로부터 백 년 후,
마티나는 귀족가의 일개 여식인 아스티나로 환생한다.

전생과 다른 평화로운 일상은 잠시,
아버지의 파산으로 인해 아스티나는
야수의 형상을 한 테리오드 대공에게로 팔려 간다.

“급소를 쳐서 기절시켰어요.”
“기…… 절시키셨다고요?”

하룻밤에 죽어 나갈 것이라는 모두의 예상과 달리
그녀는 화려한 검술로 괴물 테리오드를 제압해
애완동물로 길들이기 시작한다.

“테오, 앉아.”
“컹!”

달빛이 아름다운 어느 밤,
자신을 잘 따르는 테리오드가 기특해
아스티나는 그에게 짧게 입을 맞춰 주는데……

“……테오?”

아스티나의 애완동물이……
사람이 됐다?

결핍된 괴물 남편과 무심한 아내의 본격 조련 로맨스!

==============================

[표지 및 타이틀 로고 디자인] 송가희",https://page.kakao.com/home?seriesId=55566760,https://dn-img-page.kakao.com/download/resource?kid=tuekv/hyZ8uMY4RG/yi8ZjUUxvS6GK9QA49kDLK&filename=th2,카카오페이지,"['괴물', '오드', '테리', '티나', '로판제']"
4,아기가 생겼어요,"강기,이정",로맨스,"윤리적 교육적으로 완벽한 선생님을 꿈꾸던 장희원은 하룻 밤의 일탈로 임신을 하게 된다.
설상가상으로 아기아빠는 제자의 삼촌이자 학교 이사장인 강두준인데.
덜컥 결혼부터 하자는 이사님께 제대로 낚인 장희원의 아슬아슬한 로맨스 드라마!",https://page.kakao.com/home?seriesId=55482233,https://dn-img-page.kakao.com/download/resource?kid=KUpew/hzaccPQcVI/VTsMKmTcNtn8vfLHcqH7Kk&filename=th2,카카오페이지,"['로맨스', '희원', '강두', '결혼', '드라마']"
5,적기사는 눈먼 돈을 좇지 않는다,"송재민,로시원",로판,"황실 기사 유디트는 한때 돈만 쥐여 주면 뭐든 했던 쓰레기였다.
황실의 개로, 단장의 도구로, 돈의 노예로 살았다.
가난을 핑계 삼아 죄책감을 버렸다.
그러나 끝에 있던 건 배신과 죽음이었다.

하지만 눈 떠보니 6년의 세월을 회귀해 신입 기사 때로 돌아와 있는데…?

'이제 돈 때문에 움직이는 칼잡이는 되지 않겠어.'

이전과는 다른 생을 살겠다며 다짐하는 유디트 앞에
적기사단장이 나타나 스카우트하는데…….

""합당한 대우를 약속하겠다. 적기사단에 소속을 두지 않겠나?""

흑기사였던 과거를 버리고 적기사로서
눈먼 돈을 좇지 않기로 한 유디트.
이번 생은 후회하지 않는 삶을 살 수 있을까?",https://page.kakao.com/home?seriesId=57142071,https://dn-img-page.kakao.com/download/resource?kid=Nyvkj/hyZ8DC13qT/mpwxheXklCbof3JoFRv2B1&filename=th2,카카오페이지,"['기사', '디트', '황실', '대우', '다짐']"
6,이건 명백한 사기결혼이다,"제이드,배즙,박해담",로판,"가문을 지키기 위한 유일한 방법, 결혼.

딱 1년간 남편이 되어줄 사람을 찾기 위해
정보 길드에 중매를 의뢰했다.

그런데
잘생긴 조건이 흡족하여 결혼했는데,
이 남자 이름이 케레이드가 아니라….

“뭐? 칼리어드 대공?”

그 미친 전쟁광, 살인마….
피를 부르는 악의 화신인
칼·리·어·드 대공 이라니!

토끼 같은 레이린의 목숨 건 계약 결혼, 
<이건 명백한 사기결혼이다>",https://page.kakao.com/home?seriesId=53949651,https://dn-img-page.kakao.com/download/resource?kid=cmf8l8/hzb7s3GIv6/mP0si8GZOZJDgehj8TCE70&filename=th2,카카오페이지,"['결혼', '대공', '레이드', '살인', '악의']"
7,비선실세 레이디,"선생,청해,예훤",로판,"역하렘 소설 속 여주인공의 하나뿐인 동생으로 빙의했다.
게다가 한 번 크케 앓다 깨어난 탓에, 여주인공이 유난히 애지중지한다.
그걸 이용해서 언니에게 상처만 준 갱생불가 쓰레기 원작 남주를 물리쳤더니…….

'리리, 안녕? 혹시 케이크 좋아하니?'
'리리는 언니를 닮아서 정말 예쁘구나. 쿠키 먹지 않을래? 언니한테는 멋진 오빠가 줬다고 꼭 말해주고.'
'이거 먹고 잠깐 저쪽으로 가 있지 않을래? 아저씨랑 언니랑 긴히 할 말이 있어서 그런데.'

어째서인지 다른 남주 후보들이 나에게 잘 보이지 못해 안달이다. 

***

""못 생긴 애랑은 같이 안 놀아.""

눈앞의 남자아이가 한껏 심통난 얼굴로 중얼거렸다.

어쭈. 그렇게 나온다 이거지?
이 구역 실세의 맛을 보여주지.
나는 언니의 옷자락을 슬며시 잡아 당기며 불퉁하게 뇌까렸다.

""나 쟤 싫어. 그러니까 쟤 데려온 오빠도 싫어.""

동시에 세드릭의 얼굴이 흡사 사망 선고를 들은 사람처럼 하얗게 질렸다.

#책빙의 #실세 뽀시래기 여주 #눈치 빠른 여주
#세계 제일 미인 자매 #자매가 차린 역하렘",https://page.kakao.com/home?seriesId=58094906,https://dn-img-page.kakao.com/download/resource?kid=bgCrv1/hzacbKn1ex/IQckresfGPnJcZgpHnhMm1&filename=th2,카카오페이지,"['언니', '여주', '얼굴', '하렘', '사망']"
8,그 악녀를 조심하세요!,"열매,푸른칸나,뽕따맛스크류바",로판,"소설 속 희대의 악녀에 빙의했다! 싫냐고? 아니? 좋은데?
공작영애 = 돈 많은 백수인 것을 내가 마다할 리가! 꿀이나 빨면서 여유롭게 살기 딱 좋지 않은가? 원작같은 건 다 떨쳐버리고 나의 삶을 사는거야!

그렇게 다짐했던 내가 이 몸에 빙의한지 얼마 되지 않아 목격한 것은 나의 약혼남이자 원작의 남주인공인 '황태자 이안'의 불륜 현장이었다. 

내가 아닌 다른 여자를 품에 안고 시시덕거리는 그를 보며 나는 눈물……따윈 개뿔, 나오지도 않더라. 내 눈물은 비싸서 저런 쓰레기에게 흘리기엔 아깝거든. 눈물 대신 깊은 빡침을 담은 목소리로 물었다.

""전하는 개자식인가요?""

고구마밭에 떨어진 역대급 사이다 여주! 환장하는 원작을 뒤집어 엎기위한 걸크러쉬 그녀!
이유? 여주가 똥차같은 남주들에게 휘둘리기엔 너무 아까웠거든.

원작 여주에게 꼬이는 똥차들을 치우는 그녀와, 그녀만을 바라보는 늑댕이 한마리의 이야기!",https://page.kakao.com/home?seriesId=54439672,https://dn-img-page.kakao.com/download/resource?kid=Wn5H2/hzmU0Qo1v2/AbFPt66mAiAwZdWCwaH1gK&filename=th2,카카오페이지,"['눈물', '원작', '여주', '똥차', '공인']"
9,우선 남동생부터 숨기자,"자목,천리,채지후",로판,"하필이면 19금 다공일수 피폐 BL 만화에 수의 하나뿐인 누나로 빙의하고 말았다! 
재수없게도 광공 남주가 끔살시킬 첫 희생자가 누나인 나라니요…. 
이렇게 죽기 싫으니 전략을 짜자. 
우선, 또라이 공의 시야에서 남동생을 숨기는 거야!",https://page.kakao.com/home?seriesId=57492806,https://dn-img-page.kakao.com/download/resource?kid=coAWSX/hzachiHZRw/dcOYes676nvkZkEzLKhQU0&filename=th2,카카오페이지,"['누나', '남동생', '시야', '자가', '주가']"
