,제목,키워드
0,참교육,"['부활', '신석기', '채용', '한가람', '교육']"
1,쇼미더럭키짱!,"['액션', '통합', '남자', '래퍼', '사나이']"
2,신의 탑,"['소녀', '소년', '시험', '판타지']"
3,뷰티풀 군바리,"['군대', '드라마', '만화', '여자도']"
4,퀘스트지상주의,"['퀘스트', '작품', '공부', '싸움', '외모']"
5,장씨세가 호위무사,"['고수', '광휘', '무사', '무협', '시대극']"
6,소녀의 세계,"['드라마', '맘씨', '오리가', '갈등', '백조']"
7,백수세끼,"['드라마', '백수', '시절', '메뉴', '연애']"
8,팔이피플,"['셀럽', '명성', '부와', '옥숙', '유부녀']"
9,윈드브레이커,"['스포츠', '드라마', '라이', '말리', '모범생']"
10,앵무살수,"['판타지', '후계', '뱃사공', '소하', '전설']"
11,잔불의 기사,"['동생', '가족', '살해', '유망', '이자']"
12,만렙돌파,"['각성', '몬스터', '오류로', '가득', '사이']"
13,리턴 투 플레이어,"['세상', '플레이어', '달성', '몬스터', '퀘스트']"
14,아마도,"['미스터리', '마을', '시골', '좌천', '해안가']"
15,똑 닮은 딸,"['자식', '엄마', '소명', '기준', '단정']"
16,요리GO,"['레스토랑', '말리', '어려움', '고등학교', '수련']"
17,매지컬 급식,"['정의', '실현', '가득', '강림', '세상']"
18,히어로메이커,"['결심', '공주', '눈물', '만들기', '버스']"
19,더블클릭,"['게임', '랭킹', '지호', '난이도', '세계']"
20,칼가는 소녀,"['두려움', '드라마', '복수', '사랑', '세상']"
21,물어보는 사이,"['뱀파이어', '건강', '물리', '연예인', '이준']"
22,미니어처 생활백서,"['남고', '눈물', '드라마', '생활', '소꿉친구']"
23,파운더,"['공작', '살인', '회사', '과잉', '설립']"
24,결혼생활 그림일기,"['버스', '결혼', '생활', '일상', '짐승']"
25,평범한 8반,"['고품', '드라마', '병맛']"
26,파견체,"['감시', '우주', '지성', '관리', '기구']"
27,아는 여자애,"['갑자기', '고등학생', '기회', '여자애', '운명']"
28,꼬리잡기,"['구조', '명의', '붕괴', '사고', '사망']"
29,황제와의 하룻밤,"['구애', '발랄', '거기', '바트', '순정']"
30,신군,"['공모전', '장려상', '최대', '갈망', '먹이']"
31,꿈의 기업,"['거대', '기업', '문명', '시작', '스릴러']"
32,이별 후 사내 결혼,"['남자', '부서', '사내', '공식', '대기업']"
33,"아, 쫌 참으세요 영주님!","['로맨스', '영지', '영주', '갑자기', '순도']"
34,이제야 연애,"['죽음', '언니', '그룹', '어머니', '자매']"
35,오빠집이 비어서,"['둘째', '오빠', '희영', '예고', '대한민국']"
36,디나운스,"['강안', '드라마', '다짐', '마주', '복수']"
37,입술이 예쁜 남자,"['친구', '키스', '동생', '로맨스', '어른']"
38,제왕: 빛과 그림자,"['위기', '사건', '그룹', '보스', '오정']"
39,와이키키 뱀파이어,"['드라마', '배달', '주소', '검정고시', '뱀파이어']"
40,싸이코 리벤지,"['상대로', '액션', '일진', '전국', '전쟁']"
41,"또다시, 계약 부부","['서연', '결혼', '남녀', '로맨스', '서로']"
42,말박왕,"['겉보기', '고등학교', '고등학생', '서열', '하사']"
43,찌질하지만 로맨스는 하고 싶어,"['사랑', '현태', '로맨스', '마음', '사빠']"
44,야생천사 보호구역,"['로맨스', '고양이', '세상', '천사', '동료']"
45,별을 쫓는 소년들,"['세계', '소년', '운명', '스타', '시대']"
46,홍천기,"['남자', '천기', '만난', '보이지', '사고']"
47,바퀴,"['스릴러', '남자', '바퀴', '생존', '신체']"
48,사랑의 헌옷수거함,"['아람', '고등학교', '둘리', '수거', '관심']"
49,원작은 완결난 지 한참 됐습니다만,"['연애', '상담', '난이', '사교계', '데뷔']"
50,원하는 건 너 하나,"['동거', '상처', '시작', '유언', '율과']"
51,레지나레나 - 용서받지 못한 그대에게,"['기회', '레나', '제국', '사가', '제물']"
52,나만의 고막남친,"['이의', '가수', '거르', '노래', '로맨스']"
53,왕따협상,"['괴롭힘', '나날', '민성은', '어머니', '인생']"
54,최후의 금빛아이,"['언니', '불과', '생일', '세계', '먹이']"
55,이중첩자,"['요한', '이중', '공신', '사샤', '얼굴']"
56,달로 만든 아이,"['진도', '박하', '시절', '친구', '보지']"
57,모스크바의 여명,"['피아노', '아들', '외국어', '죽음', '피아니스트']"
58,중독연구소,"['버스', '가정', '드라마', '문병원', '소년']"
59,모락모락 왕세자님,"['왕세자', '판타지', '로맨스', '마을', '미남']"
60,그림자 신부,"['위기', '신검', '구해', '승리', '시중']"
61,마지막 지수,"['접근', '혜성', '지수', '로맨스', '소설가']"
62,개밥 먹는 남자,"['향수', '어도', '승진', '여직원', '출근']"
63,악녀 18세 공략기,"['악녀', '로맨스', '라이', '빙의', '사가']"
64,역주행!,"['영상', '이야기', '급상승', '마냥', '서서히']"
65,사막에 핀 달,"['나디아', '세리', '신관', '달라', '무협']"
66,헬로맨스,"['사관', '검사', '검찰', '악마', '로맨스']"
67,남주서치,"['엑스', '칼리', '타락', '로맨스', '게임']"
68,오로지 오로라,"['세상', '기본', '등장', '매장', '상황']"
69,슈퍼스타 천대리,"['전수', '직장인', '과거', '내일', '대리']"
70,결백한 사람은 없다,"['실종', '수사', '순경', '아동', '초능력']"
71,기사님을 지켜줘,"['브릭', '저주', '규어', '그날', '연습']"
72,여신강림,"['경이', '글로벌', '대표', '사랑', '여신']"
73,김부장,"['국가', '감시', '독학', '민지', '선택']"
74,멸망 이후의 세계,"['싱숑', '과거', '독자', '마지막', '사나이']"
75,대학원 탈출일지,"['연구', '관심', '교수', '당황', '분위기']"
76,1을 줄게,"['하늘', '숫자', '마지막', '때마침', '기회']"
77,한림체육관,"['액션', '거듭', '무도', '영하', '체육관']"
78,내가 키운 S급들,"['발목', '양육', '개판', '동생', '목숨']"
79,사신소년,"['능력', '대가', '두뇌', '스포츠', '자의']"
80,하루만 네가 되고 싶어,"['거듭', '대표', '로맨스', '서스펜스', '반전']"
81,용사가 돌아왔다,"['세계', '스스로', '액션', '일념', '정수']"
82,중증외상센터 : 골든 아워,"['명감', '센터', '전문의', '라이', '외과']"
83,니나의 마법서랍,"['서랍', '골목', '니나', '뽕짝', '스릴러']"
84,랜덤채팅의 그녀!,"['기적', '드라마', '랜덤', '무조건', '채팅']"
85,신도림,"['도시', '비밀', '생존', '소년', '세상']"
86,삼국지톡,"['보지', '삼국지', '이제껏', '군사', '유비']"
87,엽총소년,"['기록', '누적', '스위트', '프리', '회수']"
88,헬58,"['액션', '권력', '다툼', '배신', '서민']"
89,뽀샵일기,"['그린', '과제', '어도', '웹툰', '일기']"
90,집이 없어,"['생활', '서로', '고해', '드라마', '사도']"
91,하북팽가 막내아들,"['공자', '구석', '기회', '번만', '팽지혁']"
92,위아더좀비,"['타워', '드라마', '봉쇄', '사태', '쇼핑몰']"
93,원주민 공포만화,"['공포', '반전', '상상', '스릴러']"
94,윌유메리미,"['감성', '남자', '리얼', '메리', '연애']"
95,덴큐,"['꼬마', '능력', '마가', '악당', '모험']"
96,벽간소음,"['고시원', '목소리', '전용', '남자', '여성']"
97,소극적 인간,"['상황', '반성', '변화', '긍정', '반복']"
98,몬스터,"['생활', '유진', '무난', '미션', '왕따']"
99,짝사랑의 마침표,"['실연', '예찬', '짝사랑', '해리', '공률']"
100,잿빛오름,"['생명체', '순간', '어가', '구출', '군인']"
101,늑대처럼 홀로,"['러시아', '자작나무', '과거', '국경', '노인']"
102,애옹식당,"['집사', '고양이', '스트레스', '고생', '아웃']"
103,한입만!,"['건강', '고영희', '도상', '레드', '복학생']"
104,내남친 킹카만들기,"['사랑', '스타', '시작', '외모', '콘텐츠']"
105,견우와 선녀,"['그게', '거꾸로', '드라마', '죽음', '하필']"
106,올가미,"['드라마', '불명', '어진', '올가미', '윤수']"
107,하우스키퍼,"['세계', '주인', '하스', '최악', '좀비']"
108,"플레이, 플리","['도착', '돌이', '동기', '로맨스', '디엠']"
109,택배 왔습니다,"['선호', '목격자', '발견', '살인', '흔적']"
110,용왕님의 셰프가 되었습니다,"['당수', '드래곤', '심청', '차니', '판타지']"
111,미물,"['도시', '벌레', '건설', '시작', '왕국']"
112,100,"['액션', '국가', '살인', '게임', '라운드']"
113,정년이,"['부자', '극단', '기만', '드라마', '목포']"
114,은주의 방 2~3부,"['은주', '테리어', '드라마', '라이프', '스토리']"
