,제목,키워드
0,파이어스,"['공익', '근무', '나방', '액션', '이야기']"
1,바로 보지 않는,"['필요', '희진', '감치', '결심', '드라마']"
2,인간졸업,"['드라마', '라면', '세상', '영재', '소경']"
3,불어오는 밤,"['가문', '동해', '원수', '파발', '불명']"
4,배틀트레인,"['발전', '배틀', '스포츠', '지하철', '토너먼트']"
5,장난감,"['인생', '방식', '분풀이', '비밀', '세상']"
6,[영화원작] 모럴센스,"['로맨스', '아주', '남자', '사이', '오해']"
7,후작님을 녹이는 방법,"['얼굴', '결혼', '후작', '에이', '프레이']"
8,2022 서브병에 빠지다!,"['서브', '개그', '로맨스', '매력', '발산']"
9,강림전기 개정기,"['액션', '차지', '얼굴', '우등', '강림']"
10,탈영일지,"['군생활', '선임', '금혁', '추격', '모진']"
11,용돈이 계속 늘어!,"['누가', '드라마', '용돈', '누리', '백수']"
12,행운소년소녀,"['불행', '사랑', '수장', '쌍둥이', '이야기']"
13,보살님이 캐리해!,"['법화', '보살', '수호', '액션', '습격']"
14,피와 나비,"['나비', '괴물', '벌레', '정체', '판타지']"
15,시효완성,"['드라마', '살인', '시효', '우발', '원동']"
16,스캔들,"['기자', '라면', '로맨스', '스캔들', '신혼']"
17,오파츠,"['이야기', '판타지', '경계', '물건', '세상']"
18,W : 너와 나의 세계,"['강철', '만화', '만화가', '생일', '일상']"
19,평행우주,"['우주', '녀석', '개그', '공부', '구도']"
20,트리거,"['아니스', '인간', '에반', '임무', '정부']"
21,샤인 스타,"['유별', '달리기', '샤인', '소년', '청춘']"
22,겟라이프,"['고통', '소년', '판타지', '시작', '라이프']"
23,혼모노트,"['갑자기', '순간', '창조자', '구원', '덕구']"
24,빌드업,"['청춘', '후지', '드라마', '마루', '셔틀']"
25,자판귀,"['수상한', '골목길', '대표', '데뷔', '만취']"
26,잔인한 축제,"['극화', '성인', '일드', '하드', '하루']"
27,맥시멈퓨리,"['복수', '초대형', '서사시', '세계', '드라마']"
28,달빛세면소,"['클렌징', '호기심', '멘트', '사장', '세면']"
29,같은 학교 친구,"['요한', '친구', '항상', '겨울', '로맨스']"
30,매지컬 메디컬,"['드라마', '마법', '세계']"
31,말년용사,"['병장', '말년', '난리', '맨몸', '갑자기']"
32,속보입니다,"['대한민국', '방송국', '시작', '아나운서', '아르바이트']"
33,안식의 밤,"['노인', '대상', '사건', '스릴러', '살인']"
34,달콤살벌한 부부,"['거절', '남자', '로맨스', '앙숙', '제안']"
35,지원이들,"['일상', '드라마', '마음', '개그', '시절']"
36,라나,"['냉동', '미래', '바퀴', '시대', '시작']"
37,보에,"['감성', '공기', '머리', '유리', '천장']"
38,소녀행,"['저주', '로맨스', '여행', '오른', '타고']"
39,조조코믹스,"['단편', '관리', '내일', '동료', '로맨스']"
40,빨리감기,"['능력자', '당황', '영문', '누군가', '시작']"
41,가슴털 로망스,"['범벅', '개그', '남자', '눈물', '만화']"
42,변방의 외노자,"['사건', '엘프', '이민자', '드래곤', '오크']"
43,3cm 헌터,"['개미', '고양이', '능력', '상황', '위협']"
44,드로잉 레시피,"['성장', '여행', '용서', '이사', '주인']"
45,착한건 돈이된다,"['해결', '국민', '리머', '삼류', '스트']"
46,이탄국의 자청비,"['자청', '황태자', '은인', '공주', '사이']"
47,결혼까지 망상했어!,"['강제', '결혼', '상대', '성사', '소원']"
48,그들이 사귀는 세상,"['연애', '그날', '로맨스', '선언', '인생']"
49,시에라,"['클로드', '황제', '불행', '사생아', '아무']"
50,비인간,"['바이러스', '유포', '정체', '집회', '혜나']"
51,무능빌런,"['액션', '약점', '고교생', '두운', '스스로']"
52,성인초딩,"['게임기', '대신', '살의', '드라마', '영혼']"
53,내 몸을 부탁해,"['액션', '모범생', '소꿉친구', '최강', '파이터']"
54,라서드,"['세계', '사가', '액션', '모험', '분투']"
55,나만 보여!,"['몰래', '실명', '익명', '게시', '기주']"
56,호수의 인어,"['영은', '대회', '비밀', '도둑', '수영']"
57,지옥급식,"['학교', '전학생', '교사', '노출', '논리']"
58,로그아웃,"['스릴러', '개발', '기술', '버스', '상상']"
59,내 룸메이트는 마네킹,"['인간', '지호', '공포증', '기회', '룸메이트']"
60,새벽 두 시의 신데렐라,"['윤서', '주원', '가의', '막내아들', '대가']"
61,급식아빠,"['서클', '간지', '능력', '만화', '바보']"
62,38의 살인,"['도형', '부모', '사라', '이사', '자극']"
63,안드로이드는 혈이 없어,"['가득', '결코', '도우', '모험', '원칙']"
64,백호랑,"['지룡', '고양이', '소년', '신수', '이자']"
65,하루의 하루,"['하루', '마음', '도무지', '동기', '보이지']"
66,순정말고 순종,"['가정부', '갑질', '구석', '남도', '늑대']"
67,천도,"['대립', '망자', '유장', '경계', '무너']"
68,스파이더맨 단편선,"['피터', '스파이', '거미', '도착', '의문']"
69,호랑이 들어와요,"['부부', '불명', '일상', '판타지', '정체']"
70,바스키,"['드라마', '초능력자', '가족', '강도', '남자']"
71,갤러리L : 당신의 기억을 보관해드립니다,"['순진', '고향', '동생', '로맨스', '면접']"
72,홀더,"['재인', '아빠', '엄마', '수하', '경험']"
73,여고생 임연수,"['현수', '가족', '생활', '개월', '쓰레기']"
74,왕세자 입학도,"['성균관', '모종', '숨기', '유생', '정체']"
75,손 잡아 볼래?,"['궁금증', '해결', '거르', '결말', '똥차']"
76,[사전이벤트] 슈퍼캐스팅: BTS,"['이벤트', '내용', '쿠키', '확인', '먼저']"
77,걸어서 30분,"['은하', '학원', '갓길', '로맨스', '세상']"
78,썸내일,"['보배', '라인', '연애', '연일', '내일']"
79,"찬란하지 않아도 괜찮아, 새벽","['찬란', '스물', '드라마', '연인', '자로']"
80,모기전쟁,"['거듭', '모기', '인류', '최강', '지구']"
81,잉여특공대,"['로맨스', '대원', '뽀짝', '특공', '판타지']"
82,후아유!,"['대체', '로맨스', '말투', '행동', '정체']"
83,진짜 정말 맹세코 좋아해,"['구주', '로맨스', '불명', '생존', '사랑']"
84,오늘의 순정망화,"['가야', '개그', '마고', '삼국시대', '마음']"
85,트리니티 원더,"['고수', '마법사', '무협', '세계', '브레이커']"
86,삼매경,"['변변찮', '액션', '재력', '학력', '초능력']"
87,살아간다,"['박격', '선수', '선영', '액션', '하데스']"
88,선의의 경쟁,"['슬기', '경쟁', '광기', '단짝', '드라마']"
