,제목,키워드
0,우리사이느은,"['로맨스', '연인', '사이', '시작', '원색']"
1,아기가 생겼어요,"['결혼', '로맨스', '희원', '가상', '강두']"
2,애프터 커튼콜,"['연극', '매체', '영상', '뮤지컬', '이의']"
3,대표님의 삐뚤어진 사랑 [연재],"['집착', '계약', '대물', '로맨스', '손바닥']"
4,너와 사는 오늘,"['연애', '원영', '다짐', '도희', '라이']"
5,"대표님, 사모님이 도망가요","['남자', '불행', '요구', '행운', '결혼식']"
6,LOVE WINS,"['독자', '로맨스', '린지', '연애', '웃기']"
7,사랑할 수 없는 그녀,"['꽁꽁', '남동생', '리기', '시작', '시절']"
8,우리 내일 이혼해요,"['이혼', '결심', '고모', '여름', '갑자기']"
9,안나 이야기,"['이후', '일상', '단골', '도적', '손님']"
10,낮에 뜨는 별 [연재],"['유라', '톱스타', '중고', '대한민국', '드라마틱']"
11,도깨비의 제물이 된 신부 [개정판],"['도깨비', '남자', '부탁', '얼굴', '이용']"
12,속도위반 대표님과 계약 아내 [연재],"['재벌', '혜원', '결혼', '결말', '생활']"
13,너는 아니라고 했지만,"['연서', '마음', '도발', '순탄', '동료']"
14,천사의 용도,"['얼굴', '천사', '납치', '로맨스', '세기']"
15,말할 수 없는 남매,"['남학생', '발칵', '장편', '마이', '실력']"
16,오타쿠에게 사랑은 어려워,"['수집', '아이템', '일본', '게임', '근해']"
17,아가씨와 우렁총각,"['수하', '아파트', '난입', '남자', '살림']"
18,기절소녀 하나미!,"['고백', '계획', '반한', '선배', '입학식']"
19,우리 사이 30cm,"['남녀', '로맨스', '소꿉', '거리', '삼각']"
20,태후의 남자들 [연재],"['로맨스', '복수', '신하', '조정', '장악']"
21,다시 그대와 함께 [웹툰] [연재],"['남자', '교인', '근무', '수상한', '중인']"
22,이성연애박사,"['대학생', '로맨스', '백합', '사랑', '성관계']"
23,소라해나!,"['남자친구', '학원', '거짓말', '시작', '언니']"
24,What Does the Fox Say? [개정판],"['스튜디오', '백합', '헤어', '신기원', '재주']"
25,잠겨진 양호실에서 선생님과,"['호실', '히로', '시호', '중이', '키스']"
26,리빙 윌,"['서로', '가게', '기습', '네트', '매춘부']"
27,미명의 추적자,"['남자', '능력', '동료', '로맨스', '만난']"
28,"위황후, 궐을 쓰다 [연재]","['궁궐', '누군가', '마자', '생존', '적응']"
29,첫사랑에게 [연재],"['시선', '소설', '자꾸만', '로맨스', '사랑']"
30,복수할까? 연애할까?,"['구슬', '남자', '두목', '만난', '사랑']"
31,우리 아빠가 대표님 이래요 [연재],"['아빠', '엄마', '호의', '홀로', '사이']"
32,별과 하나의 시,"['낭독', '스트', '국어', '방송', '시집']"
33,연필의 각도,"['연필', '미술', '선생님', '성장', '잔물']"
34,마이 페어 풋맨,"['라이', '백작', '앨버트', '사랑', '결심']"
35,세상에서 젤 어려운 연애,"['로맨스', '기류', '덩치', '지원', '털털']"
36,내가 원하는 건,"['강의', '수강', '대학교', '로맨스', '교양']"
37,만지고 싶어! [연재],"['강세', '유도', '로맨스', '아가', '결벽증']"
38,백성녀와 흑목사,"['거리', '교회', '동거', '러브', '로렌']"
39,오! 순정,"['기생', '순정', '사랑', '영혼', '남자']"
40,하얀데레,"['우현', '고등학교', '상대', '싸이코', '왕따']"
41,그녀는 나를 싫어해 시즌1-2,"['개그', '기와', '단호박', '만화', '연상']"
42,구룡 제네릭 로맨스,"['과거', '남녀', '드라마', '거리', '달달']"
43,사라진 첫사랑,"['로맨스', '열심', '결과', '고등학생', '바보']"
44,뉴노멀 [연재],"['세상', '공유', '나츠키', '시대', '동경']"
45,미스타임 (Miss time),"['지호', '세라', '로맨스', '남녀', '리프']"
46,설레는 기분,"['백설', '상부', '경영학', '달달', '명실']"
47,"꽃은 꽃으로, 잎은 잎으로","['복수', '영은', '설영', '배경', '시대극']"
48,남주를 공략하는 방법,"['공략', '남궁', '게임', '여성', '경화']"
49,데일리 위치,"['마녀', '순간', '생계', '인형', '정신']"
