,제목,키워드,플랫폼
1,종말 후 라이브 ,"['좀비', '사냥', '종말', '일상', '코믹']",카카오웹툰
2,바니와 오빠들 ,"['연애', '바니', '얼빠', '남자', '개념']",카카오웹툰
3,무지개다리 파수꾼 ,"['목소리', '이한철', '수의사', '동물', '강아지']",카카오웹툰
4,미생 ,"['드라마', '승리', '이야기']",카카오웹툰
5,대사형 선유 ,"['수련', '액션', '무공', '무협', '보법']",카카오웹툰
6,조류공포증 ,"['회사', '부장', '정체', '동료', '조류']",카카오웹툰
7,뱀파이어님의 대리식사 ,"['정체', '로맨스', '기억', '알바', '두운']",카카오웹툰
8,스위치 ,"['명의', '폭력', '최백호', '일진', '공포']",카카오웹툰
9,그 책에 마음을 주지 마세요 ,"['실리', '미래', '남자', '사랑', '일기장']",카카오웹툰
10,액괴 ,"['블롭', '교내', '사슬', '먹이', '장악']",카카오웹툰
11,교수님을 빚는 중 ,"['도경', '보컬', '희원', '목소리', '트레이너']",카카오웹툰
12,쓰레기 머학생 ,"['대학', '게임', '보기', '생활', '수업']",카카오웹툰
13,그라티아 ,"['엑소', '오기', '시스', '열쇠', '친구']",카카오웹툰
14,나를 기억하나요 ,"['놀림', '마음', '숨기', '중학생', '지현']",카카오웹툰
15,강호표사 ,"['협객', '무림', '강호', '무영', '가득']",카카오웹툰
16,환율이 바뀌었나요? ,"['서로', '이해', '사고', '기도', '변화']",카카오웹툰
17,타원을 그리는 법 ,"['유주', '비밀', '프로젝트', '과거', '연인']",카카오웹툰
18,사장님의 특별지시 ,"['비서', '지시', '사장', '레터', '사직']",카카오웹툰
19,롱리브더킹 ,"['여인', '도전', '남자', '목숨', '건달']",카카오웹툰
20,흑우 ,"['성훈', '투자', '거래', '경험', '대기업']",카카오웹툰
21,괴물아기 ,"['아기', '행복', '가출', '괴물', '드라마']",카카오웹툰
22,연습생 고영신 ,"['연습생', '결심', '지망', '투기', '파란만장']",카카오웹툰
23,서천화원 ,"['루하', '황태', '복수', '어머니', '공주']",카카오웹툰
24,천인의 신부 ,"['귀비', '병사', '사당', '남자', '신부']",카카오웹툰
25,집행자여 ,"['김종서', '사건', '시대', '군부', '부가']",카카오웹툰
26,가비왕 ,"['요괴', '궁궐', '단장', '도사', '소속']",카카오웹툰
27,바스락 ,"['세상', '판타지', '일본', '아빠', '소녀']",카카오웹툰
28,환골탈태 ,"['고양이', '아기', '해골', '대행', '서비스']",카카오웹툰
29,오무라이스 잼잼 ,"['가족', '음식', '간장', '매콤', '메추리']",카카오웹툰
30,이대로 멈출 순 없다 ,"['소연', '사건', '오해', '전학', '쓰레기']",카카오웹툰
31,일단 질러! 질렐루야 ,"['지름', '물건', '소한', '용품', '생활']",카카오웹툰
32,유부녀의 탄생 ,"['리얼리티', '결혼식', '일상', '카툰', '코믹']",카카오웹툰
33,아싸가 알아버렸다 ,"['윤정', '극한', '기름', '드라마', '비밀']",카카오웹툰
34,비밀 사이 ,"['마음', '로맨스', '부끄러움', '가난', '결핍']",카카오웹툰
35,사랑하는 존재 ,"['소유', '심장', '아저씨', '갑자기', '학년']",카카오웹툰
36,지옥사원 ,"['악마', '인간', '드라마', '판타지', '직원']",카카오웹툰
37,너를 만나다 ,"['이야기', '변화', '사정', '남자', '로맨스']",카카오웹툰
38,기프트 ,"['감독', '고교야구', '능력', '등급', '드라마']",카카오웹툰
39,멸종인간 ,"['인류', '인간', '생존', '미연', '마지막']",카카오웹툰
40,우리집이거든요! ,"['상속', '게스트하우스', '거인', '남자', '동물']",카카오웹툰
41,신랑이 사라졌다 ,"['사랑', '결혼', '신랑', '발표', '인하']",카카오웹툰
42,카페 보문 ,"['공간', '드라마', '마음', '오픈', '보문']",카카오웹툰
43,골드핸즈 ,"['그린', '노력', '완성', '그림', '프로젝트']",카카오웹툰
44,엑스텐 ,"['양궁', '발견', '부원', '엑스', '고등학교']",카카오웹툰
45,화폐개혁 ,"['테스트', '상속', '시공사', '신뢰', '마늘']",카카오웹툰
46,우주를 삼킨 별 ,"['남편', '로맨스', '방해', '연애', '실종']",카카오웹툰
47,해피하우스 ,"['고덕', '폐가', '감정', '머리', '불행']",카카오웹툰
48,바다의 그림자 ,"['첫사랑', '투자', '파라', '선의', '배우']",카카오웹툰
49,악한 기사 ,"['니제르', '제국', '몬트', '왕국', '다짐']",카카오웹툰
50,까락 ,"['무협', '벌교', '액션', '주먹', '자랑']",카카오웹툰
51,크리스마스는 쨈과 함께 ,"['주인', '판타지', '드라마', '사랑', '악마']",카카오웹툰
52,개목걸이 ,"['싸움', '백의', '갈수록', '대상', '조상']",카카오웹툰
53,하드오피스 ,"['목격', '사내', '장면', '기억', '대립']",카카오웹툰
