,제목,키워드
0,종말 후 라이브 ,"['좀비', '사냥', '종말', '일상', '코믹']"
1,바니와 오빠들 ,"['연애', '바니', '얼빠', '남자', '개념']"
2,무지개다리 파수꾼 ,"['목소리', '이한철', '수의사', '동물', '강아지']"
3,미생 ,"['드라마', '승리', '이야기']"
4,대사형 선유 ,"['수련', '액션', '무공', '무협', '보법']"
5,조류공포증 ,"['회사', '부장', '정체', '동료', '조류']"
6,뱀파이어님의 대리식사 ,"['정체', '로맨스', '기억', '알바', '두운']"
7,스위치 ,"['명의', '폭력', '최백호', '일진', '공포']"
8,그 책에 마음을 주지 마세요 ,"['실리', '미래', '남자', '사랑', '일기장']"
9,액괴 ,"['블롭', '교내', '사슬', '먹이', '장악']"
10,교수님을 빚는 중 ,"['도경', '보컬', '희원', '목소리', '트레이너']"
11,쓰레기 머학생 ,"['대학', '게임', '보기', '생활', '수업']"
12,그라티아 ,"['엑소', '오기', '시스', '열쇠', '친구']"
13,나를 기억하나요 ,"['놀림', '마음', '숨기', '중학생', '지현']"
14,강호표사 ,"['협객', '무림', '강호', '무영', '가득']"
15,환율이 바뀌었나요? ,"['서로', '이해', '사고', '기도', '변화']"
16,타원을 그리는 법 ,"['유주', '비밀', '프로젝트', '과거', '연인']"
17,사장님의 특별지시 ,"['비서', '지시', '사장', '레터', '사직']"
18,롱리브더킹 ,"['여인', '도전', '남자', '목숨', '건달']"
19,흑우 ,"['성훈', '투자', '거래', '경험', '대기업']"
20,괴물아기 ,"['아기', '행복', '가출', '괴물', '드라마']"
21,연습생 고영신 ,"['연습생', '결심', '지망', '투기', '파란만장']"
22,서천화원 ,"['루하', '황태', '복수', '어머니', '공주']"
23,천인의 신부 ,"['귀비', '병사', '사당', '남자', '신부']"
24,집행자여 ,"['김종서', '사건', '시대', '군부', '부가']"
25,가비왕 ,"['요괴', '궁궐', '단장', '도사', '소속']"
26,바스락 ,"['세상', '판타지', '일본', '아빠', '소녀']"
27,환골탈태 ,"['고양이', '아기', '해골', '대행', '서비스']"
28,오무라이스 잼잼 ,"['가족', '음식', '간장', '매콤', '메추리']"
29,이대로 멈출 순 없다 ,"['소연', '사건', '오해', '전학', '쓰레기']"
30,일단 질러! 질렐루야 ,"['지름', '물건', '소한', '용품', '생활']"
31,유부녀의 탄생 ,"['리얼리티', '결혼식', '일상', '카툰', '코믹']"
32,아싸가 알아버렸다 ,"['윤정', '극한', '기름', '드라마', '비밀']"
33,비밀 사이 ,"['마음', '로맨스', '부끄러움', '가난', '결핍']"
34,사랑하는 존재 ,"['소유', '심장', '아저씨', '갑자기', '학년']"
35,지옥사원 ,"['악마', '인간', '드라마', '판타지', '직원']"
36,너를 만나다 ,"['이야기', '변화', '사정', '남자', '로맨스']"
37,기프트 ,"['감독', '고교야구', '능력', '등급', '드라마']"
38,멸종인간 ,"['인류', '인간', '생존', '미연', '마지막']"
39,우리집이거든요! ,"['상속', '게스트하우스', '거인', '남자', '동물']"
